MRBTS,Cell ID,Hub / Child,NMS,Vendor,Primary IPSEC Gateway,Primary Gateway IP,Primary - NEW IKE TEP,Secondary IPSEC Gateway,Secondary Gateway IP,Secondary - NEW IKE TEP
PLMN-PLMN/MRBTS-22473,97869,Hub,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-22506,97925,Hub,NetAct R10,Nokia Flexi,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-31058,15640,Hub,NetAct R10,Nokia Airscale,Glasgow SecGW 2 Distributed,10.138.0.207,10.138.7.207,Belfast SecGW 1 Distributed,10.138.0.201,10.138.7.201
PLMN-PLMN/MRBTS-17643,17892,Child,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 2 Distributed,10.138.0.227,10.138.7.227,Birmingham SecGW 1 Distributed,10.138.0.197,10.138.7.197
PLMN-PLMN/MRBTS-17858,19004,Child,NetAct R12,Nokia Airscale,Glasgow SecGW 2 Distributed,10.138.0.207,10.138.7.207,Belfast SecGW 1 Distributed,10.138.0.201,10.138.7.201
PLMN-PLMN/MRBTS-18210,21082,Child,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 2 Distributed,10.138.0.227,10.138.7.227,Birmingham SecGW 1 Distributed,10.138.0.197,10.138.7.197
PLMN-PLMN/MRBTS-18487,23712,Hub,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 2 Distributed,10.138.0.227,10.138.7.227,Birmingham SecGW 1 Distributed,10.138.0.197,10.138.7.197
PLMN-PLMN/MRBTS-18539,24630,Child,NetAct R12,Nokia Flexi,Glasgow SecGW 2 Distributed,10.138.0.207,10.138.7.207,Belfast SecGW 1 Distributed,10.138.0.201,10.138.7.201
PLMN-PLMN/MRBTS-18946,29290,Child,NetAct R10,Nokia Airscale,Glasgow SecGW 2 Distributed,10.138.0.207,10.138.7.207,Belfast SecGW 1 Distributed,10.138.0.201,10.138.7.201
PLMN-PLMN/MRBTS-18948,29292,Child,NetAct R10,Nokia Flexi,Glasgow SecGW 2 Distributed,10.138.0.207,10.138.7.207,Belfast SecGW 1 Distributed,10.138.0.201,10.138.7.201
PLMN-PLMN/MRBTS-18961,29320,Child,NetAct R10,Nokia Flexi,Glasgow SecGW 2 Distributed,10.138.0.207,10.138.7.207,Belfast SecGW 1 Distributed,10.138.0.201,10.138.7.201
PLMN-PLMN/MRBTS-18967,29340,Child,NetAct R10,Nokia Flexi,Glasgow SecGW 2 Distributed,10.138.0.207,10.138.7.207,Belfast SecGW 1 Distributed,10.138.0.201,10.138.7.201
